,Keyword,dhq_total_keyword_count,jca_total_keyword_count,jooch_total_keyword_count,total_keyword_count,Significance score,Year,# of articles keyword DHQ,# of articles keyword JCA,# of articles keyword JOCCH,DHQ_yearly_total,JCA_yearly_total,JOOCH_yearly_total,Rank,Size
131,evaluation,3,1,24,28,0.8,2019,0,0,2,39,28,32,11,39
132,interpretation,17,1,9,27,0.8,2019,2,0,0,39,28,32,12,38
133,interpretation,17,1,9,27,0.8,2017,1,0,1,54,7,32,12,38
134,interpretation,17,1,9,27,0.8,2015,0,0,1,34,0,33,12,38
135,quantitative analysis,2,4,4,10,0.8,2015,0,0,1,34,0,33,15,35
136,classification,4,1,5,10,0.8,2015,1,0,0,34,0,33,16,34
137,computational methods,22,15,5,42,0.8,2014,1,0,0,28,0,21,10,40
138,interpretation,17,1,9,27,0.8,2014,1,0,0,28,0,21,12,38
139,map,6,3,9,18,0.8,2014,1,0,0,28,0,21,13,37
140,network analysis,8,2,2,12,0.8,2021,1,2,0,69,32,60,14,36
141,classification,4,1,5,10,0.8,2014,1,0,0,28,0,21,16,34
142,frequency,2,1,2,5,0.8,2014,0,0,1,28,0,21,17,33
143,interpretation,17,1,9,27,0.8,2022,1,1,1,79,16,74,12,38
144,classification,4,1,5,10,0.8,2022,1,0,2,79,16,74,16,34
145,evaluation,3,1,24,28,0.8,2016,0,0,1,53,11,17,11,39
146,frequency,2,1,2,5,0.8,2016,0,0,1,53,11,17,17,33
147,interpretation,17,1,9,27,0.8,2018,1,0,0,62,13,17,12,38
148,map,6,3,9,18,0.8,2018,0,0,1,62,13,17,13,37
149,computational methods,22,15,5,42,0.8,2023,1,1,0,41,19,86,10,40
150,network analysis,8,2,2,12,0.8,2023,1,0,1,41,19,86,14,36
151,quantitative analysis,2,4,4,10,0.8,2023,0,2,0,41,19,86,15,35
152,evaluation,3,1,24,28,0.8,2022,0,1,1,79,16,74,11,39
153,quantitative analysis,2,4,4,10,0.8,2022,1,1,0,79,16,74,15,35
154,map,6,3,9,18,0.8,2019,0,0,1,39,28,32,13,37
155,network analysis,8,2,2,12,0.8,2019,1,0,0,39,28,32,14,36
156,correlation,2,2,1,5,0.8,2019,1,0,0,39,28,32,18,32
157,computational methods,22,15,5,42,0.8,2017,1,0,0,54,7,32,10,40
158,classification,4,1,5,10,0.8,2017,0,1,0,54,7,32,16,34
159,correlation,2,2,1,5,0.8,2017,0,1,0,54,7,32,18,32
160,evaluation,3,1,24,28,0.8,2020,0,0,1,68,26,44,11,39
161,map,6,3,9,18,0.8,2020,0,0,1,68,26,44,13,37
162,correlation,2,2,1,5,0.8,2020,0,1,0,68,26,44,18,32
163,interpretation,17,1,9,27,0.8,2023,1,0,0,41,19,86,12,38
164,classification,4,1,5,10,0.8,2023,0,0,1,41,19,86,16,34
165,frequency,2,1,2,5,0.8,2023,1,0,0,41,19,86,17,33
166,correlation,2,2,1,5,0.8,2023,1,0,0,41,19,86,18,32
167,variability,1,1,1,3,0.8,2023,0,0,1,41,19,86,19,31
168,map,6,3,9,18,0.8,2021,1,0,0,69,32,60,13,37
169,map,6,3,9,18,0.8,2022,1,0,0,79,16,74,13,37
170,classification,4,1,5,10,0.8,2021,1,0,0,69,32,60,16,34
171,frequency,2,1,2,5,0.8,2021,1,0,0,69,32,60,17,33
172,frequency,2,1,2,5,0.8,2022,0,1,0,79,16,74,17,33
173,variability,1,1,1,3,0.8,2021,0,1,0,69,32,60,19,31
174,variability,1,1,1,3,0.8,2022,1,0,0,79,16,74,19,31
175,pattern,4,1,9,14,0.75,2012,0,0,1,28,0,12,20,30
176,pattern,4,1,9,14,0.75,2018,1,0,2,62,13,17,20,30
177,interaction,3,1,10,14,0.75,2009,1,0,0,47,0,6,21,29
178,interaction,3,1,10,14,0.75,2011,0,0,1,20,0,20,21,29
179,pattern,4,1,9,14,0.75,2023,1,0,2,41,19,86,20,30
180,pattern,4,1,9,14,0.75,2014,0,0,1,28,0,21,20,30
181,interaction,3,1,10,14,0.75,2014,0,0,1,28,0,21,21,29
182,interaction,3,1,10,14,0.75,2021,0,0,3,69,32,60,21,29
183,interaction,3,1,10,14,0.75,2020,0,1,1,68,26,44,21,29
184,interaction,3,1,10,14,0.75,2016,1,0,0,53,11,17,21,29
185,interaction,3,1,10,14,0.75,2018,1,0,0,62,13,17,21,29
186,interaction,3,1,10,14,0.75,2022,0,0,2,79,16,74,21,29
187,pattern,4,1,9,14,0.75,2017,1,0,0,54,7,32,20,30
188,interaction,3,1,10,14,0.75,2017,0,0,1,54,7,32,21,29
189,pattern,4,1,9,14,0.75,2020,0,1,0,68,26,44,20,30
190,interaction,3,1,10,14,0.75,2023,0,0,1,41,19,86,21,29
191,pattern,4,1,9,14,0.75,2021,0,0,1,69,32,60,20,30
192,pattern,4,1,9,14,0.75,2022,1,0,0,79,16,74,20,30
193,metadata,9,2,25,36,0.7,2008,0,0,2,6,0,12,22,28
194,metadata,9,2,25,36,0.7,2014,2,0,2,28,0,21,22,28
195,metadata,9,2,25,36,0.7,2023,0,1,8,41,19,86,22,28
196,metadata,9,2,25,36,0.7,2021,2,0,5,69,32,60,22,28
197,network,7,3,1,11,0.7,2015,2,0,0,34,0,33,24,26
198,metadata,9,2,25,36,0.7,2019,1,0,2,39,28,32,22,28
199,accessibility,5,1,7,13,0.7,2016,1,0,1,53,11,17,23,27
200,metadata,9,2,25,36,0.7,2017,1,0,2,54,7,32,22,28
201,network,7,3,1,11,0.7,2021,3,2,0,69,32,60,24,26
202,accessibility,5,1,7,13,0.7,2018,2,0,0,62,13,17,23,27
203,scale,2,2,6,10,0.7,2018,1,1,0,62,13,17,25,25
204,metadata,9,2,25,36,0.7,2020,2,1,0,68,26,44,22,28
205,metadata,9,2,25,36,0.7,2022,1,0,3,79,16,74,22,28
206,use cases,2,1,3,6,0.7,2017,1,0,1,54,7,32,26,24
207,accessibility,5,1,7,13,0.7,2023,0,1,2,41,19,86,23,27
208,scale,2,2,6,10,0.7,2023,0,1,2,41,19,86,25,25
209,scale,2,2,6,10,0.7,2014,0,0,1,28,0,21,25,25
210,accessibility,5,1,7,13,0.7,2020,2,0,0,68,26,44,23,27
211,metadata,9,2,25,36,0.7,2016,0,0,1,53,11,17,22,28
212,use cases,2,1,3,6,0.7,2018,1,0,0,62,13,17,26,24
213,network,7,3,1,11,0.7,2023,0,1,1,41,19,86,24,26
214,accessibility,5,1,7,13,0.7,2022,0,0,2,79,16,74,23,27
215,accessibility,5,1,7,13,0.7,2019,0,0,1,39,28,32,23,27
216,scale,2,2,6,10,0.7,2019,0,0,1,39,28,32,25,25
217,scale,2,2,6,10,0.7,2017,1,0,0,54,7,32,25,25
218,network,7,3,1,11,0.7,2017,1,0,0,54,7,32,24,26
219,use cases,2,1,3,6,0.7,2023,0,0,1,41,19,86,26,24
220,accessibility,5,1,7,13,0.7,2021,0,0,1,69,32,60,23,27
221,use cases,2,1,3,6,0.7,2022,0,1,0,79,16,74,26,24
222,scale,2,2,6,10,0.7,2021,0,0,1,69,32,60,25,25
223,scale,2,2,6,10,0.7,2022,0,0,1,79,16,74,25,25
224,network,7,3,1,11,0.7,2022,1,0,0,79,16,74,24,26
